DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
15322,15,1515322,2021,6,156,2021-6,174,15322006,15322156,153222021,15322-2021-6,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,14.9461914,3.00554,0,0,0,0
15322,15,1515322,2021,7,157,2021-7,175,15322007,15322157,153222021,15322-2021-7,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,14.2943359,3.77747,0,0,0,0
15322,15,1515322,2021,8,158,2021-8,176,15322008,15322158,153222021,15322-2021-8,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,14.8241211,2.931425,0,0,0,0
15322,15,1515322,2021,9,159,2021-9,177,15322009,15322159,153222021,15322-2021-9,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.0746094,2.485563,0,0,0,0
15322,15,1515322,2021,10,1510,2021-10,178,15322010,153221510,153222021,15322-2021-10,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.6449219,3.783123,0,0,0,0
15322,15,1515322,2021,11,1511,2021-11,179,15322011,153221511,153222021,15322-2021-11,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.5165039,2.456743,0,0,0,0
15322,15,1515322,2021,12,1512,2021-12,180,15322012,153221512,153222021,15322-2021-12,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.9864746,1.455017,0,0,0,0
15753,15,1515753,2021,1,151,2021-1,169,15753001,15753151,157532021,15753-2021-1,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.8167969,2.251766,0,0,0,0
15753,15,1515753,2021,2,152,2021-2,170,15753002,15753152,157532021,15753-2021-2,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,15.0794922,8.41341,0,0,0,0
15753,15,1515753,2021,3,153,2021-3,171,15753003,15753153,157532021,15753-2021-3,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.277002,10.546541,0,0,0,0
15753,15,1515753,2021,4,154,2021-4,172,15753004,15753154,157532021,15753-2021-4,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.8067871,7.452637,0,0,0,0
15753,15,1515753,2021,5,155,2021-5,173,15753005,15753155,157532021,15753-2021-5,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.7459961,11.612942,0,0,0,0
15753,15,1515753,2021,6,156,2021-6,174,15753006,15753156,157532021,15753-2021-6,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.3827148,7.973118,0,0,0,0
15753,15,1515753,2021,7,157,2021-7,175,15753007,15753157,157532021,15753-2021-7,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.5555664,5.772166,0,0,0,0
